"Name","Live Bytes","Live Objects"
"org.springframework.beans.BeanMetadataAttribute","9,480 B (0%)","395 (0%)"
"java.util.HashMap$Values","9,440 B (0%)","590 (0.1%)"
"java.util.zip.Inflater","9,408 B (0%)","147 (0%)"
"com.sun.jmx.remote.util.OrderClassLoaders","9,328 B (0%)","106 (0%)"
"java.lang.module.ModuleDescriptor$Exports","9,312 B (0%)","388 (0%)"
"org.springframework.core.ResolvableType[]","9,312 B (0%)","416 (0%)"
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition","9,072 B (0%)","81 (0%)"
"java.util.logging.LogManager$LoggerWeakRef","8,976 B (0%)","187 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature[]","8,920 B (0%)","414 (0%)"
"java.util.jar.JarFile$JarFileEntry","8,832 B (0%)","92 (0%)"
"org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor","8,784 B (0%)","366 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","8,768 B (0%)","497 (0%)"
"java.io.ObjectInputStream$ValidationList","8,720 B (0%)","545 (0%)"
"java.util.WeakHashMap$Entry","8,680 B (0%)","217 (0%)"
"java.beans.MethodDescriptor","8,400 B (0%)","150 (0%)"
"java.util.concurrent.ConcurrentHashMap$KeyIterator","8,344 B (0%)","149 (0%)"
"org.thymeleaf.processor.element.IElementProcessor[]","8,296 B (0%)","437 (0%)"
"org.h2.value.DataType","8,160 B (0%)","102 (0%)"
"org.apache.logging.slf4j.SLF4JLogger","8,064 B (0%)","252 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node","7,936 B (0%)","248 (0%)"
"java.util.concurrent.CopyOnWriteArraySet","7,904 B (0%)","494 (0%)"
"org.springframework.beans.factory.support.MethodOverrides","7,872 B (0%)","492 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Entry","7,848 B (0%)","327 (0%)"
"jdk.internal.reflect.NativeMethodAccessorImpl","7,800 B (0%)","325 (0%)"
"java.io.ObjectStreamField[]","7,408 B (0%)","263 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionOutcome","7,296 B (0%)","304 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome","7,296 B (0%)","304 (0%)"
"org.springframework.core.ResolvableType$DefaultVariableResolver","7,280 B (0%)","455 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[]","7,216 B (0%)","181 (0%)"
"java.rmi.MarshalledObject$MarshalledObjectInputStream","7,200 B (0%)","100 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap$Segment[]","7,200 B (0%)","90 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements","7,200 B (0%)","180 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment","7,168 B (0%)","128 (0%)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","7,152 B (0%)","447 (0%)"
"java.lang.Thread","7,144 B (0%)","19 (0%)"
"org.thymeleaf.engine.HTMLAttributeDefinition","7,136 B (0%)","223 (0%)"
"sun.rmi.server.MarshalOutputStream$1","7,136 B (0%)","446 (0%)"
"java.util.regex.Pattern","7,040 B (0%)","80 (0%)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","6,960 B (0%)","435 (0%)"
"org.thymeleaf.engine.IEngineTemplateEvent[]","6,912 B (0%)","32 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair","6,832 B (0%)","427 (0%)"
